Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Centro;1;0;0;15;800.0;390.0;20.0
Higienópolis;1;0;0;48;800.0;230.0;0.0
Tijuca;1;0;0;48;750.0;772.0;25.0
Centro;1;0;0;27;750.0;371.0;19.0
Centro;1;1;0;37;1100.0;540.0;900.0
Vila Isabel;1;0;0;37;1000.0;285.0;24.0
Botafogo;1;0;0;35;1000.0;293.0;86.0
Engenho Novo;1;1;0;63;700.0;625.0;36.0
Maracanã;1;1;1;120;1000.0;985.0;150.0
Freguesia (Jacarepaguá);1;1;0;49;1050.0;580.0;36.0
Leme;1;0;0;31;1140.0;420.0;24.0
Grajaú;1;0;0;30;800.0;283.0;187.0
Botafogo;1;0;0;17;1100.0;330.0;15.0
Méier;1;0;0;53;900.0;484.0;37.0
Curicica;1;1;0;45;700.0;356.0;126.0
Méier;1;0;0;50;1000.0;390.0;16.0
Andaraí;1;0;1;30;1100.0;580.0;0.0
Freguesia (Jacarepaguá);1;1;0;49;850.0;590.0;37.0
Centro;1;0;1;38;1150.0;400.0;25.0
Santa Teresa;1;0;0;21;800.0;312.0;15.0
Centro;1;0;0;35;1000.0;300.0;0.0
Campo Grande;1;1;0;46;650.0;250.0;0.0
Vila Isabel;1;1;1;50;1050.0;450.0;0.0
Fátima;1;0;0;50;1100.0;558.0;20.0
Higienópolis;1;0;0;55;750.0;120.0;0.0
Botafogo;1;0;0;35;1000.0;293.0;86.0
Santa Teresa;1;1;0;49;1150.0;570.0;28.0
Copacabana;1;0;0;35;1100.0;400.0;55.0
Tijuca;1;0;0;40;1100.0;350.0;50.0
Glória;1;0;0;34;1100.0;275.0;14.0
Higienópolis;1;0;1;45;800.0;120.0;31.0
Engenho Novo;1;0;0;37;600.0;414.0;16.0
Encantado;1;1;0;44;500.0;346.0;0.0
Barra da Tijuca;1;1;1;45;910.0;640.0;12.0
Centro;1;0;0;30;900.0;320.0;0.0
Centro;1;0;0;21;900.0;289.0;20.0
Praça da Bandeira;1;0;0;35;400.0;130.0;0.0
Rio Comprido;1;0;0;33;800.0;275.0;24.0
Praça Seca;1;1;1;70;600.0;481.0;17.0
São Cristóvão;1;0;0;56;850.0;450.0;15.0
Centro;1;0;0;38;900.0;223.0;15.0
Méier;1;0;0;47;700.0;435.0;162.0
Engenho Novo;1;1;1;51;850.0;509.0;17.0
Méier;1;0;0;55;850.0;340.0;16.0
Flamengo;1;0;1;26;1100.0;381.0;29.0
Santa Teresa;1;0;0;45;740.0;180.0;25.0
Tanque;1;1;1;64;900.0;470.0;15.0
Glória;1;0;1;48;1100.0;500.0;0.0
Centro;1;0;0;40;1000.0;510.0;21.0
Méier;1;1;0;55;900.0;250.0;17.0
Centro;1;0;0;55;850.0;350.0;35.0
Centro;1;0;0;28;900.0;446.0;24.0
Catete;1;0;0;27;1000.0;359.0;29.0
Engenho Novo;1;1;0;62;900.0;555.0;0.0
Tijuca;1;0;0;35;800.0;380.0;24.0
Cascadura;1;0;0;40;680.0;240.0;0.0
Freguesia (Jacarepaguá);1;1;0;50;1000.0;590.0;36.0
Flamengo;1;0;0;39;1100.0;580.0;20.0
Centro;1;0;0;35;950.0;340.0;24.0
Tijuca;1;1;0;47;1100.0;600.0;0.0
Madureira;1;0;0;55;700.0;200.0;0.0
Copacabana;1;0;0;55;1100.0;560.0;57.0
Laranjeiras;1;0;0;27;1100.0;680.0;29.0
Glória;1;0;0;50;950.0;570.0;67.0
Praça Seca;1;1;0;45;650.0;370.0;140.0
Higienópolis;1;0;1;37;900.0;308.0;0.0
Centro;1;0;0;34;1000.0;450.0;21.0
Tijuca;1;0;0;35;800.0;420.0;0.0
Freguesia (Jacarepaguá);1;1;0;50;1050.0;590.0;37.0
Centro;1;0;0;45;1100.0;400.0;0.0
Cidade Nova;1;0;0;37;800.0;214.0;14.0
Lapa;1;0;0;32;1100.0;380.0;0.0
Caju;1;0;1;45;850.0;230.0;0.0
Glória;1;0;1;40;1150.0;520.0;0.0
Centro;1;0;0;33;800.0;380.0;25.0
Praça Seca;1;1;0;48;450.0;275.0;0.0
Centro;1;0;0;42;1090.0;345.0;24.0
Glória;1;0;0;20;900.0;495.0;0.0
Recreio dos Bandeirantes;1;0;0;24;1000.0;364.0;0.0
Cachambi;1;0;1;39;850.0;320.0;0.0
Copacabana;1;0;0;33;1100.0;523.0;56.0
Sampaio;1;0;0;51;800.0;205.0;0.0
Freguesia (Jacarepaguá);1;1;0;49;1100.0;590.0;36.0
Marechal Hermes;1;0;0;50;800.0;280.0;0.0
Vila da Penha;1;0;0;45;1100.0;250.0;0.0
Bonsucesso;1;0;0;38;850.0;170.0;0.0
Cachambi;1;1;0;48;750.0;250.0;0.0
Maracanã;1;0;0;54;1000.0;450.0;20.0
Sampaio;1;0;0;51;800.0;205.0;0.0
Lins de Vasconcelos;1;1;0;60;800.0;460.0;250.0
